feat,importance
l_barenjager_honey_liqueur,8.139265469813605e-06
l_barr_hill_gin,0.0
l_barr_hill_reserve_tom_cat_gin,0.0
l_barrel_bourbon_vantage,0.0
l_barrel_single_barrel_bourbon,0.0
l_barrell_armida_bourbon,0.0
l_barrell_bourbon_batch_035,0.0
l_barrell_bourbon_batch_036,2.1180785175972932e-07
l_barrell_bourbon_cask_finish_series_mizunara,8.962295034222349e-08
l_barrell_bourbon_dovetail_whiskey,0.0
l_barrell_bourbon_dovetail_whiskey_use_code_86576,0.0
l_barrell_bourbon_private_release,0.0
l_barrell_foundation_bourbon,1.455418718434185e-06
l_barrell_seagrass,2.688724809809913e-09
l_barrell_whiskey_infinite_barrel_project,0.0
l_barsol_acholado_pisco,0.0
l_barsol_primero_quebranta_pisco,0.0
l_bartenders_hot_sex,3.4091581656618238e-06
l_bartenders_trading_company_awesome_orange,1.2129518179228963e-06
l_bartenders_trading_company_pina_colada,6.120765934711377e-08
l_barton_gin,0.0004397084883009713
l_barton_light_rum,1.2964856026441203e-06
l_barton_long_island_iced_tea,6.534769589744558e-07
l_barton_naturals_vodka,1.578226228616063e-05
l_barton_vodka,0.0003637661339696317
l_barton_vodka_mini,8.374697900675846e-09
l_barton_vodka_pet,3.111707677121502e-05
l_basil_hayden,2.857169650234298e-06
l_basil_hayden_10yr,3.211583656050361e-05
l_basil_hayden_8yr,5.65069520476654e-05
l_basil_hayden_bourbon,4.081780915473915e-05
l_basil_hayden_dark_rye,5.2252624491245934e-05
l_basil_hayden_malted_rye,5.154231801720093e-06
l_basil_hayden_red_wine_cask_finish,3.122999017854899e-06
l_basil_hayden_subtle_smoke,6.130257527907364e-09
l_basil_hayden_toast,8.376217983646e-06
l_batavia_arrack_van_oosten,0.0
l_bauchant_orange_liqueur,6.1470082116380005e-06
l_beach_bonfire_cinnamon_whiskey,0.0
l_beach_island_coconut_whiskey,0.0
l_beams_8_star_bl_whiskey,5.382747977810031e-05
l_bearface_7yr_triple_oak,1.410944423319946e-05
l_beefeater_gin,0.00046122647426170144
l_belle_de_brillet,0.0
l_bellissimo_limoncello,0.0
l_beluga_gold_line_vodka,0.0
l_beluga_noble_vodka,0.0
l_belvedere_pure,7.079513939078504e-05
l_ben_holladay_6yr_mo_bourbon,1.9111088514878955e-06
l_ben_holladay_rickhouse_proof_bourbon_whiskey,3.0172578596999084e-06
l_benchmark_bonded,1.26146805544529e-05
l_benchmark_egg_nog,0.0
l_benchmark_full_proof,0.00046820857653975584
l_benchmark_old_no_8,8.840533368504169e-06
l_benchmark_single_barrel,7.021585000955277e-06
l_benchmark_small_batch,2.931013379068645e-05
l_benchmark_top_floor,7.818294988266343e-07
l_benriach_10yr_smoky,0.0
l_benriach_12_year_smoky,0.0
l_benriach_12yr,2.1842805193172205e-11
l_benromach_10yr,2.611072001315004e-08
l_benromach_15yr,0.0
l_benromach_21yr,0.0
l_berentzen_apple,0.0
l_berentzen_pear,0.0
l_bernheim_original_wheat_whiskey,1.6291194591755256e-05
l_betini_lemon_drop,0.0
l_betini_margarita,0.0
l_betini_pink_cranberry,0.0
l_betini_tropical_sunset,0.0
l_bib_tucker_double_char_bourbon,4.856284299966119e-07
l_bib_tucker_small_batch_bourbon_aged_6yr,3.8982281451667786e-05
l_big_house_bourbon,7.476686406868713e-08
l_bigallet_china_china,0.0
l_bigallet_thym,0.0
l_bird_dog_apple,3.9450590353535497e-05
l_bird_dog_apple_mini,9.029274508732556e-05
l_bird_dog_black_cherry,2.180567896494459e-05
l_bird_dog_black_cherry_mini,1.83677830230718e-06
l_bird_dog_black_espresso,7.668945382544935e-07
l_bird_dog_black_espresso_mini,0.0
l_bird_dog_blackberry,6.969137929014204e-05
l_bird_dog_blackberry_mini,3.51077637035649e-06
l_bird_dog_candy_cane,0.0
l_bird_dog_candy_cane_mini,6.6846625747020485e-06
l_bird_dog_gingerbread,1.92056031089575e-05
l_bird_dog_honey_flavored_whiskey,7.169431703968887e-06
l_bird_dog_honey_flavored_whiskey_mini,4.0841312355296705e-09
l_bird_dog_hot_cinnamon,0.0
l_bird_dog_jalapeno_honey,0.0
l_bird_dog_maple,4.633284011825432e-07
l_bird_dog_mesquite_brown_sugar,3.206068329719415e-07
l_bird_dog_mesquite_brown_sugar_mini,1.5322730215420058e-06
l_bird_dog_peach,6.850392586073979e-05
l_bird_dog_peach_mini,4.409740431806718e-07
l_bird_dog_peach_pet,2.0099032881730773e-07
l_bird_dog_peanut_butter,1.0602809782847034e-05
